text,retweets,replies,likes,quotes,created_at,vader_score,vader_label,tblob_score,tblob_label,top1_mood,top2_mood,top3_mood
Santander scam: phishing email includes customer’s full name and account number | Personal Finance | Finance https://t.co/p1n5btslYr,0,0,0,0,2022-07-17 07:56:47+00:00,-0.5267,neg,0.175,neu,ANGRY,AMUSED,ANNOYED
Santander scam: phishing email includes customer’s full name and account number | Personal Finance | Finance https://t.co/9fLema43Qq,0,0,0,0,2022-07-17 07:55:08+00:00,-0.5267,neg,0.175,neu,ANGRY,AMUSED,ANNOYED
Santander Scam: Phishing Email Includes Customer’s Full Name and Account Number | Personal finance | Finance https://t.co/xRjTexPjEz,0,0,0,0,2022-07-17 07:52:16+00:00,-0.5267,neg,0.175,neu,INSPIRED,ANNOYED,AMUSED
Santander Scam: Phishing Email Includes Customer’s Full Name and Account Number | Personal finance | Finance https://t.co/oUbVwDWez8,0,0,0,0,2022-07-17 07:52:14+00:00,-0.5267,neg,0.175,neu,INSPIRED,ANNOYED,AMUSED
'It looks so legit!’ Santander scam email includes full name and account number https://t.co/bnGdh1wpxI,3,3,7,0,2022-07-17 07:51:01+00:00,-0.6067,neg,0.35,pos,AMUSED,ANGRY,ANNOYED
Here is the updated loss curves through June month-end for Santander's auto loan securitizations.  The five pools or originations during the pandemic are still performing well compared to their pools since 2015. https://t.co/rBghaYmLAo,2,3,22,0,2022-07-17 02:00:27+00:00,-0.0258,neu,0.0,neu,AMUSED,SAD,INSPIRED
"Ofertas Trabajo Banking Architect - Banco Santander en Comunidad de Madrid: Banking Architect - Banco Santander Boadilla del Monte, Spain WHAT YOU WILL BE DOING Banco Santander is looking for a Banking Architect, based in our Boadilla del Monte office.… https://t.co/YSipkvIC0N",0,0,0,0,2022-07-17 00:18:06+00:00,0.0,neu,0.0,neu,ANGRY,ANNOYED,INSPIRED
"@santander_br Don't depend on your salary only if you have, Bank account, computer or smartphone you can make $10,000 in 24hrs 
👇👇👇
https://t.co/qO0ual8bVY",0,0,0,0,2022-07-16 22:56:45+00:00,0.0,neu,0.0,neu,AMUSED,DONT_CARE,INSPIRED
"@santander_br Don't depend on your salary only if you have, Bank account, computer or smartphone you can make $10,000 in 24hrs 
👇👇👇
https://t.co/qO0ual8bVY",0,0,0,0,2022-07-16 22:56:42+00:00,0.0,neu,0.0,neu,AMUSED,DONT_CARE,INSPIRED
@Buses_McGills is there a santander card been found on a bus from braehead to paisley just after 9 last night thanks xx,0,1,0,0,2022-07-16 21:13:41+00:00,0.4404,neu,0.1,neu,AMUSED,INSPIRED,SAD
"Stack sale

See pinned tweet for info.

Anthony Santander 2014 Bowman Chrome 1st Prospect card

$.50 

@sports_sell https://t.co/LLi8rurFiA",0,0,1,0,2022-07-16 20:05:00+00:00,0.296,neu,0.0,neu,AMUSED,INSPIRED,DONT_CARE
"@santanderukhelp @santanderuk 
I just received this text message. I don’t have a bank account with Santander and never have done (so I didn’t click on link and deleted text) but I wanted to warn you about this scam text. https://t.co/xq0Vv4TCLT",0,1,0,0,2022-07-16 17:47:54+00:00,-0.8254,neg,0.0,neu,AMUSED,ANNOYED,INSPIRED
"@Elita64471407 They can’t deal with it on ‘live chat’ then I call and it’s the same response. Jokers. I may try Santander as my mortgage is with them. I can get cash out with the card but it’s never accepted online or in person, only started about 2 months ago!",0,1,1,0,2022-07-16 13:22:26+00:00,-0.3639,neg,0.04545454545454545,neu,INSPIRED,AMUSED,ANGRY
"@santanderuk I bought something at Amazon fof £400. Amazon asks me to verify it through the Santander app, which I do. 24 later it says payment denied, asks me to verify it again, and I do it. It's the 6th time I do this dance. Card has plenty of room. What gives?",0,0,0,0,2022-07-16 12:00:36+00:00,-0.128,neg,0.0,neu,INSPIRED,AMUSED,ANNOYED
"We have found out that some of the venues are only accepting cashless payments. It’s therefore worth looking at cashless options for the boys for the week. We found the below from Santander which may help.#Kc #SkillsForLife
https://t.co/7UOehC0Oed",0,1,2,0,2022-07-16 11:55:10+00:00,0.5423,neu,0.15,neu,INSPIRED,AMUSED,HAPPY
"@Michell90432207 Hi Michelle, thanks for the question. Please contact the credit card team https://t.co/fchXB1H39M and they will be happy to help. ^JM",0,0,0,0,2022-07-16 10:53:28+00:00,0.9217,pos,0.5,pos,INSPIRED,DONT_CARE,AMUSED
"@monzo hi, having issues with a refund from Ticketmaster that they issued to my old bank. Santander say they have returned it to issuer. Is there any chance it's stuck in the system somewhere on the way to my Monzo account since I switched?",0,1,0,0,2022-07-16 09:50:26+00:00,0.0,neu,0.1,neu,AMUSED,INSPIRED,DONT_CARE
@les_sis @MoneySavingExp What happens if you have a Santander card?,0,1,0,0,2022-07-16 08:24:00+00:00,0.0,neu,0.0,neu,INSPIRED,DONT_CARE,AMUSED
@louisetickle @CooperativeBank Oh. Yeah contacting them isn’t that easy any more. I had to call to remove a block on my card and was on hold for a long time. They were lovely when I did get through though. Bums. Good luck. Don’t go with Santander is my only advice!,0,0,0,0,2022-07-16 07:54:30+00:00,0.9041,pos,0.34722222222222215,pos,INSPIRED,AMUSED,DONT_CARE
"🌟 I grew up in a 400sq.ft. in Bulgaria. 
🌟 I took a loan to put myself through Law School 
🌟 Ended up working at Santander for 2 years, then started my biz with $100! 
🌟 Today, I am featured in @BusinessInsider spilling the beans on how.

https://t.co/Op8Yec5zuR",0,0,3,1,2022-07-15 22:54:16+00:00,0.0,neu,0.0,neu,AMUSED,INSPIRED,DONT_CARE
@santanderukhelp my card is locked after 3 wrong pin attempts. Can i unblock my card from any ATM or does it have to have to be a Santander one?,0,1,0,0,2022-07-15 18:13:40+00:00,-0.4767,neg,-0.5,neg,AMUSED,INSPIRED,DONT_CARE
"@RWrenXIII By accept, we mean that it's possible to send an international transfer to a Santander account. Please contact the sending bank for more information Raymond. ^ES",0,0,0,0,2022-07-15 18:05:03+00:00,0.5994,neu,0.046875,neu,INSPIRED,ANGRY,AMUSED
@ChrisBarraclou3 Sorry we can only apologise again for your experience this evening Chris. You can also log a complaint via online banking if you have access. This is detailed here too: https://t.co/LulsTNkqkm ^ES,0,0,0,0,2022-07-15 18:02:15+00:00,0.0258,neu,-0.1,neg,INSPIRED,ANGRY,AMUSED
"@MElias Not that it matters, my opinion, but here it is.  Im ok with trading Santander, he has peaked. I would lean towards keeping Mancini, we won't get any useful player in return and he is a valuable piece.  The rest keep, give us a chance at a wild card. Oh and Drew Jones #1",0,0,0,0,2022-07-15 18:02:01+00:00,0.7433,pos,0.3,pos,INSPIRED,AMUSED,DONT_CARE
"@netflix UK huckster lawyers are dumb. Spent the last few years trying to subtract me from all online services + purchases to push stance that I do not want to buy products, when theirs plenty of money in my Lloyds Bank + Santander account. Will have what is mine, hucksters☮️🙂♥️",0,0,0,0,2022-07-15 17:32:00+00:00,-0.6621,neg,-0.16875,neg,INSPIRED,AMUSED,ANNOYED
"@purples6689 If the advice provided by my colleague doesn't resolve, please contact our Online Banking Team and an advisor will be happy to help troubleshoot this for you: https://t.co/fchXB1H39M",0,0,0,0,2022-07-15 16:52:57+00:00,0.6192,pos,0.8,pos,INSPIRED,ANNOYED,AMUSED
"Mr. @BenjContra contrary take has once again featured on the @MoneyShow. This time he talks $SAN and banking:

https://t.co/clOaS0N1xv

#valueinvesting",0,0,4,0,2022-07-15 16:15:12+00:00,0.0,neu,0.0,neu,INSPIRED,AMUSED,DONT_CARE
"Customer Experience Adviser @santanderuk in Kendal

 See: https://t.co/gctQOZ2alb

#CumbriaJobs #CustomerServiceJobs https://t.co/9bdTd0nlvT",0,0,0,0,2022-07-15 16:01:48+00:00,0.0,neu,0.0,neu,ANNOYED,ANGRY,DONT_CARE
"@dotcolour Hi there, thanks for getting in touch. The next step would be to speak with our Business Banking Team where an advisor will be happy to help and provide you with next steps: https://t.co/Xr7HXyHmoR.",0,0,0,0,2022-07-15 15:48:23+00:00,0.8519,pos,0.25,pos,INSPIRED,AMUSED,DONT_CARE
"@ramsay_wmramsay Greetings, you have tweeted to the Santander global account. Our colleagues of @santanderukhelp will happily assist you.",1,0,1,0,2022-07-15 15:31:26+00:00,0.7506,pos,0.4,pos,INSPIRED,DONT_CARE,AMUSED
"**https://t.co/3jAx9g5Jo7** is for SALE!

#bank #banks #banking #bankaccount #savings #consumers #banking #HSBC #Nationwide #FirstDirect #Santander #ChaseBanks #VirginMoney #UK 

The banks offering hundreds in cash to entice consumers to swap accounts https://t.co/ioHhcvR6b1",0,0,0,0,2022-07-15 14:04:00+00:00,0.0,neu,0.0,neu,ANGRY,INSPIRED,AMUSED
@Millsybaby Don’t want to brag but I have an offshore account. I bank with Santander and they’re Spanish.,0,0,0,0,2022-07-15 13:17:41+00:00,0.0387,neu,0.0,neu,INSPIRED,AMUSED,ANGRY
"@JohnHansPalf Are you able to access the Santander mobile app? If not it's best to call at your earliest convenience, so we can get you a new card and investigate the transaction. ^MS",0,1,0,0,2022-07-15 12:57:25+00:00,-0.5216,neg,0.5454545454545454,pos,AMUSED,INSPIRED,SAD
It’s shocking how many forms do not accept apostrophes in names. Finally get my mum to agree to online banking but we can’t register with @santanderuk as computer says no to our O’Connor name 🫣 sort it out Santander. #digital https://t.co/2c5nCf7MMj,1,2,8,0,2022-07-15 12:26:50+00:00,-0.5411,neg,-0.125,neg,AMUSED,INSPIRED,DONT_CARE
"@Amrita_x_ Hello Amrita, you can only deposit foreign cheques by post. Please sign the back of the cheque with your sort code, account number, and a signature and post it to  our Foreign Cheque Processing Team at Santander UK, FCD Team, 1st Floor Ops Block, Bridl... https://t.co/ztLvJe3WTX",0,0,0,0,2022-07-15 12:11:45+00:00,-0.0772,neg,-0.0625,neg,ANGRY,AMUSED,ANNOYED
"@Whenmouf Greetings, you have tweeted to the Santander global account. Our colleagues of @santanderukhelp will happily assist you.",0,0,0,0,2022-07-15 10:49:26+00:00,0.7506,pos,0.4,pos,INSPIRED,DONT_CARE,AMUSED
"@karlosvald You can make withdrawals at anytime with our eSaver, Regular eSaver and Everyday Saver account. Here's a link you can find more information on our savings accounts - https://t.co/NqsS1Prbk9 ^MS",0,1,0,0,2022-07-15 09:25:22+00:00,0.0,neu,0.09999999999999999,neu,INSPIRED,AMUSED,SAD
"@GeorgeMonbiot @VodafoneUK I had a hurrendous experience with Santander re my father’s account. He was found dead, and his account was still being used by whoever took his cards and they would not deal with me stop the account or accept the interim death certificate.",0,0,0,0,2022-07-15 06:55:29+00:00,-0.8316,neg,-0.2,neg,INSPIRED,ANGRY,AMUSED
2018 Topps Chrome Anthony Santander B #thehobby #sponsored https://t.co/0dxPWLieMZ,0,0,0,0,2022-07-15 01:22:15+00:00,0.0,neu,0.0,neu,INSPIRED,ANNOYED,AMUSED
"@SantanderUSA Hello Santander. Today I paid off my loan, and I got a confirmation number, but not an email??? What is going on?",1,1,0,0,2022-07-14 23:48:49+00:00,0.2755,neu,0.0,neu,AMUSED,INSPIRED,ANNOYED
"@kwrs @JacquiOatley Hi 
The money in my case didn’t leave the account. It was with Santander but they stopped the transaction until I got in touch with them. Today before logging into my account there was a warning regarding WhatsApp scams such as ours.I hope you can get it all back.",0,0,0,0,2022-07-14 20:48:25+00:00,-0.7845,neg,0.0,neu,ANGRY,INSPIRED,AMUSED
"Technology Updates!
International banking giant Santander has announced that the reward ceremony for its blockchain-focused Santander X Global Challenge will take place in the Decentraland metaverse!
 https://t.co/858gEGfXim

#Metaverso #Blockchain #MetaverseNFT",0,0,3,0,2022-07-14 19:29:24+00:00,0.6792,pos,0.0,neu,INSPIRED,ANNOYED,DONT_CARE
"@santanderukhelp I tried to transfer some of my own money from my Santander business account to another account in my own name. I had my online access blocked. I phoned the number shown and, after waiting half an hour to get through to the ""security team"", gave up and called again. This time 1/2",0,2,0,0,2022-07-14 18:57:29+00:00,0.1531,neu,0.3444444444444444,pos,AMUSED,INSPIRED,ANNOYED
"@MarblePyramid_ Hi Richard, please let us know if we have help you with anything. You should be able to see all active direct debits via online banking. If the instruction is set up, the company should be able to claim payments without any issues. As Santander do not ... https://t.co/H1OPh9IDcG",0,1,0,0,2022-07-14 18:44:16+00:00,0.7717,pos,0.24166666666666667,pos,AMUSED,INSPIRED,ANNOYED
"The banking tax would mean 1,800 million for Santander, BBVA and CaixaBank, according to Credit Suisse https://t.co/ErpKDRQaSe",0,0,0,0,2022-07-14 17:48:14+00:00,0.3818,neu,-0.3125,neg,INSPIRED,ANNOYED,ANGRY
Amazed to find out London's Santander Cycles (Boris Bikes) don't accept contactless payment from the Google Pay card stored on my phone. Fraud thing? They want you to use their app? Really annoying.,0,2,1,0,2022-07-14 17:34:30+00:00,-0.7381,neg,-0.8,neg,AMUSED,INSPIRED,ANNOYED
"@Becca_Thomasxx Hi Rebecca, we don't use card readers at Santander. Please see the following link for more information; https://t.co/5ankopvX6A. ^ES",0,0,0,0,2022-07-14 17:19:21+00:00,0.3182,neu,0.25,pos,INSPIRED,AMUSED,SAD
"@jenny_graphic Thanks Jennifer. We wouldn't make any changes to your name/account unless you requested this first. If anyone is having trouble making a transfer to you, using your name as we hold for you as per your Santander account, they would be best contacting th... https://t.co/bdG6SQtm6j",0,1,0,0,2022-07-14 16:55:07+00:00,0.6597,pos,0.3125,pos,INSPIRED,AMUSED,ANNOYED
"@youknowsitclart Greetings, you have tweeted to the Santander global account. Our colleagues of @santanderukhelp will happily assist you.",0,1,0,0,2022-07-14 16:09:43+00:00,0.7506,pos,0.4,pos,INSPIRED,DONT_CARE,AMUSED
"@achangnyc @ClimateTrade I think easiest way for consumer awareness/adoption on carbon footprint would be to partner with Cos. in food industry, which could range from @McDonalds to @WholeFoods @Chobani @BettyCrocker @blueapron as examples.
We are doing this in banking &amp; travel w/Santander, Iberia, Melia",0,1,1,0,2022-07-14 15:41:52+00:00,0.4215,neu,0.0,neu,INSPIRED,AMUSED,DONT_CARE
"@TRsmithson Hi Tasha, thanks for getting in touch - you can call us on the number on the back of your card (0800 9 123 123). Our contact information is also available via the following link: https://t.co/fchXB1H39M. Hope this helps. ^GC",0,0,0,0,2022-07-14 15:40:12+00:00,0.8442,pos,0.15000000000000002,neu,INSPIRED,AMUSED,DONT_CARE
"@delamaza Greetings, you have tweeted to the Santander global account. Our colleagues of @santanderchile will happily assist you.",0,0,0,0,2022-07-14 14:48:36+00:00,0.7506,pos,0.4,pos,INSPIRED,DONT_CARE,AMUSED
@santanderukhelp Thanks for the prompt reply. Unfortunately I've changed my telephone number to a German one so cannot receive the OTP and I'm unable to change my number in the app or on Santander online banking because my phone can't be registered.,0,1,0,0,2022-07-14 14:41:38+00:00,0.2732,neu,-0.2,neg,AMUSED,INSPIRED,DONT_CARE
"@annjgittins Hello Ann, this is a genuine Santander contact number, however, scammers can sometimes spoof our numbers. If you have any concerns about your security, please contact us using the number on the back of your card and one of my colleagues can confirm if we called you. ^JP",0,0,0,0,2022-07-14 14:38:06+00:00,0.6486,pos,0.10000000000000002,neu,AMUSED,INSPIRED,ANNOYED
@santanderukhelp I have tried removing the card &amp; manually typing the details but it still doesn't work. I'm not receiving an OTP but rather this error when it attempts to verify my card with my bank (Santander): https://t.co/k8R3Hh6L67,0,1,0,0,2022-07-14 14:22:11+00:00,-0.6355,neg,0.0,neu,ANNOYED,AMUSED,INSPIRED
"The rest of the banks, if the bank won’t or can’t tell you, check your account the same time (either Sunday or Monday) your money usually hits your account. Santander is usually between 9pm and 10pm the night before, not sure about others x",0,0,1,0,2022-07-14 14:19:28+00:00,-0.2411,neg,-0.1875,neg,INSPIRED,ANGRY,AMUSED
@florencerounda2 I got the same wording with a new card from Santander,0,0,0,0,2022-07-14 13:50:40+00:00,0.0,neu,0.06818181818181818,neu,DONT_CARE,ANGRY,SAD
"@fkFCSK Hi there. You can open a new savings account via our website here - https://t.co/NqsS1Prbk9. Once opened, you can close the old savers and then transfer the funds via your online/mobile banking or use our live chat facility and an advisor can assist you. ^MS",0,0,1,0,2022-07-14 13:45:17+00:00,0.0,neu,0.09318181818181817,neu,INSPIRED,AMUSED,DONT_CARE
@courtx01 Your account will automatically transfer to our 1|2|3 Graduate Current Account at the end of your course: https://t.co/cRTx4YM8ZK ^JP,0,0,1,0,2022-07-14 13:09:26+00:00,0.0,neu,0.0,neu,SAD,INSPIRED,ANGRY
"@bancosantander to host their X Global Challenge – Blockchain &amp; Beyond awards on @decentraland.

The banking firm eyes the emerging #Metaverse service to commemorate #blockchain technologies ⚡

https://t.co/OUAnYS5y57

#XR",0,0,0,0,2022-07-14 13:00:20+00:00,0.5106,neu,-0.1,neg,ANNOYED,INSPIRED,HAPPY
"Global banking firm Santander will host its “X Global Challenge – Blockchain &amp; Beyond” award ceremony on metaverse platform Decentraland.

@bancosantander @decentraland @Xrtoday #Blockchain #Metaverse
https://t.co/sYIfWW7HCm",2,0,0,0,2022-07-14 13:00:00+00:00,0.5859,neu,-0.06666666666666667,neg,INSPIRED,DONT_CARE,AMUSED
"💳 Get the right student bank account 💳

Nationwide Flexstudent account offers an overdraft of up to £1,000 in the first year, £2,000 in year two and £3,000 in year three.

Santander 1-2-3 student current account offers a £1,500 overdraft as well as a free railcard",3,6,6,2,2022-07-14 11:22:29+00:00,0.6597,pos,0.18928571428571428,neu,INSPIRED,AMUSED,ANNOYED
@GeorgeMonbiot I had that when Santander froze my business account when my business manager father passed away. They insisted he signed a handover. “Which part of dead don’t you understand?”,0,0,1,0,2022-07-14 11:05:48+00:00,-0.6486,neg,-0.2,neg,INSPIRED,ANGRY,ANNOYED
"On a walk in Wandsworth I thought I might try @tfl Santander bike on the way home
So glad I didn’t really need it. Downloaded the app and it’s now forgotten my bank details 3x in a row now and never contacted my card company
The alternative is using contactless…",0,1,0,0,2022-07-14 09:32:40+00:00,0.3384,neu,0.35,pos,INSPIRED,AMUSED,DONT_CARE
#santander #bank how on earth cant open a Business account .. 🤦‍♀️,0,0,0,0,2022-07-14 09:02:14+00:00,0.0,neu,0.0,neu,AMUSED,INSPIRED,SAD
@TfL Hello why doesn’t your telephone number work any more? I need to update my card so my Santander Cycle key will work and can’t do it online currently.,0,0,0,0,2022-07-14 08:58:53+00:00,0.0772,neu,0.16666666666666666,neu,INSPIRED,AMUSED,DONT_CARE
"@alwe233 The next best step would be to get in contact with our business banking team, so this can be looked further into - https://t.co/Xr7HXypLxj. ^MS",0,0,0,0,2022-07-14 08:46:42+00:00,0.6369,pos,0.3333333333333333,pos,INSPIRED,AMUSED,DONT_CARE
@santanderukhelp I have been a Santander (actually Abbey National) customer for years. I only used that card for ease - had plenty in my account and have been charged the same this month and last so £60 for using my credit card! Fuming and can’t see how I can remain a customer !,0,0,0,0,2022-07-14 08:35:43+00:00,-0.2462,neg,0.0,neu,AMUSED,INSPIRED,DONT_CARE
"@MariaEl37519248 Hi Maria, please contact us via chat, if you use online banking , or call us https://t.co/fchXB1psie and an advisor will be happy to discuss the charges. ^JM",0,1,0,1,2022-07-14 08:23:41+00:00,0.5994,neu,0.8,pos,INSPIRED,DONT_CARE,AMUSED
"@alcegray Hi Alice, thanks for getting in touch! Currently we only offer the physical card to customers. Here's a link with more information on our 123 Student Account - https://t.co/TKsfqNTeCF. ^MS",0,0,0,0,2022-07-14 08:23:25+00:00,0.4926,neu,0.1875,neu,INSPIRED,AMUSED,DONT_CARE
"@bmwtouring12311 Hi Jean-Marc, we no longer offer Card protection policies but gap insurance is available through Santander Consumer Finance - https://t.co/naRPmY0MVW  Hope this helps. ^JM",0,0,0,0,2022-07-14 07:46:04+00:00,0.8047,pos,0.4,pos,INSPIRED,ANGRY,ANNOYED
"@santanderukhelp Good Morning,

Please confirm  if Santander sold Card Protection Plans (CPP), Repayment Option Plans (ROP), Guaranteed Asset Protection (GAP)?

Many Thanks,
Jean-Marc Bany.",0,1,0,0,2022-07-14 04:40:07+00:00,0.8625,pos,0.4666666666666666,pos,INSPIRED,DONT_CARE,AMUSED
@card_buffalo @oddballbaseball @RyansCardssLLC @TayDwyer8 @CardPurchaser That Santander though 👀👀👀,0,1,1,0,2022-07-14 03:26:14+00:00,0.0,neu,0.0,neu,INSPIRED,AMUSED,DONT_CARE
@StuartKlopp what do i need to pay through mate ive got paypal i can do cash in hand direct deposit got my halifax card revolut cashapp invoice santander debit cards bank transfer i can do cheques i got nectar google wallet i can venmo you or facebook pay mate,0,2,13,0,2022-07-13 23:32:04+00:00,0.34,neu,0.1,neu,AMUSED,INSPIRED,ANGRY
"@CitadelBanking in Pa. has hired a business banking team from Santander Bank.

https://t.co/R5cIaaCwnX",0,0,0,0,2022-07-13 21:40:25+00:00,0.0,neu,0.0,neu,INSPIRED,DONT_CARE,AMUSED
"Just been on to @santanderukhelp for 2hrs 45 mins trying to get them to enable my debit card for contactless in @GooglePay without any luck. All my other cards work without issue, including my Santander business account, &amp; this card used to work, now fails bank authentication🤬",0,1,0,0,2022-07-13 19:37:19+00:00,-0.6463,neg,-0.3125,neg,AMUSED,INSPIRED,ANNOYED
"@santanderuk @santanderukhelp For some reason, you've blocked me from my online account. I've called your helpline only to be met by unfriendliness, sarcastic jibes and being put on hold for OVER 3 HOURS AND COUNTING!
This is horrifically poor. My loyalty to Santander is waning!",0,1,0,0,2022-07-13 17:32:16+00:00,-0.8011,neg,-0.125,neg,AMUSED,INSPIRED,ANGRY
Santander for iOS will help you manage your account https://t.co/4u3xZNh3Bb,0,0,0,0,2022-07-13 17:07:11+00:00,0.4019,neu,0.0,neu,AMUSED,SAD,INSPIRED
"@santanderukhelp Hi - I have full 4G and WIFI but it doesn’t load on both, and it’s the only site that doesn’t load. For example Santander US and other countries will load, but not UK. I need access to my account urgently so can someone help?",0,1,0,0,2022-07-13 15:06:08+00:00,0.6054,pos,0.075,neu,INSPIRED,AMUSED,DONT_CARE
